gmId,IdW,Vov,Vth,CdbW,CsbW
0.611702127659575,75.2,2.644,0.656,6.56e-10,1.06e-09
0.616107382550336,74.5,2.634,0.656,6.57e-10,1.06e-09
0.62059620596206,73.8,2.614,0.656,6.58e-10,1.06e-09
0.625170998632011,73.1,2.594,0.656,6.58e-10,1.06e-09
0.629834254143646,72.4,2.584,0.656,6.59e-10,1.06e-09
0.633704735376045,71.8,2.574,0.656,6.6e-10,1.06e-09
0.638537271448664,71.1,2.554,0.656,6.6e-10,1.06e-09
0.643465909090909,70.4,2.534,0.656,6.61e-10,1.06e-09
0.648493543758967,69.7,2.524,0.656,6.62e-10,1.06e-09
0.653623188405797,69,2.514,0.656,6.62e-10,1.06e-09
0.656432748538012,68.4,2.494,0.656,6.63e-10,1.06e-09
0.661742983751846,67.7,2.474,0.656,6.64e-10,1.06e-09
0.667164179104478,67,2.464,0.656,6.65e-10,1.06e-09
0.672699849170437,66.3,2.444,0.656,6.65e-10,1.06e-09
0.677321156773211,65.7,2.434,0.656,6.66e-10,1.06e-09
0.683076923076923,65,2.424,0.656,6.67e-10,1.06e-09
0.687402799377916,64.3,2.404,0.656,6.67e-10,1.06e-09
0.692307692307692,63.7,2.384,0.656,6.68e-10,1.06e-09
0.698412698412698,63,2.374,0.656,6.69e-10,1.06e-09
0.704654895666132,62.3,2.364,0.656,6.7e-10,1.06e-09
0.708265802269044,61.7,2.344,0.656,6.7e-10,1.06e-09
0.714754098360656,61,2.324,0.656,6.71e-10,1.06e-09
0.720198675496689,60.4,2.314,0.656,6.72e-10,1.06e-09
0.725293132328308,59.7,2.304,0.656,6.73e-10,1.06e-09
0.730964467005076,59.1,2.284,0.656,6.73e-10,1.06e-09
0.738013698630137,58.4,2.264,0.656,6.74e-10,1.06e-09
0.742214532871972,57.8,2.254,0.656,6.75e-10,1.06e-09
0.749562171628722,57.1,2.244,0.656,6.76e-10,1.06e-09
0.755752212389381,56.5,2.224,0.656,6.76e-10,1.06e-09
0.761648745519713,55.8,2.214,0.656,6.77e-10,1.06e-09
0.768115942028986,55.2,2.194,0.656,6.78e-10,1.06e-09
0.774311926605505,54.5,2.174,0.656,6.79e-10,1.06e-09
0.781076066790352,53.9,2.164,0.656,6.79e-10,1.06e-09
0.787992495309568,53.3,2.154,0.656,6.8e-10,1.06e-09
0.793168880455408,52.7,2.134,0.656,6.81e-10,1.06e-09
0.801923076923077,52,2.114,0.656,6.82e-10,1.06e-09
0.807392996108949,51.4,2.104,0.656,6.83e-10,1.06e-09
0.81496062992126,50.8,2.094,0.656,6.83e-10,1.06e-09
0.820717131474104,50.2,2.074,0.656,6.84e-10,1.06e-09
0.83030303030303,49.5,2.054,0.656,6.85e-10,1.06e-09
0.83640081799591,48.9,2.044,0.656,6.86e-10,1.06e-09
0.842650103519669,48.3,2.034,0.656,6.87e-10,1.06e-09
0.851153039832285,47.7,2.014,0.656,6.88e-10,1.06e-09
0.857749469214437,47.1,1.994,0.656,6.88e-10,1.06e-09
0.866666666666667,46.5,1.984,0.656,6.89e-10,1.06e-09
0.873638344226579,45.9,1.964,0.656,6.9e-10,1.06e-09
0.880794701986755,45.3,1.954,0.656,6.91e-10,1.06e-09
0.890380313199105,44.7,1.944,0.656,6.92e-10,1.06e-09
0.897959183673469,44.1,1.924,0.656,6.93e-10,1.06e-09
0.905747126436782,43.5,1.904,0.656,6.93e-10,1.06e-09
0.913752913752914,42.9,1.894,0.656,6.94e-10,1.06e-09
0.92434988179669,42.3,1.884,0.656,6.95e-10,1.06e-09
0.932853717026379,41.7,1.864,0.656,6.96e-10,1.06e-09
0.941605839416058,41.1,1.844,0.656,6.97e-10,1.06e-09
0.950617283950617,40.5,1.834,0.656,6.98e-10,1.06e-09
0.9575,40,1.824,0.656,6.99e-10,1.06e-09
0.969543147208122,39.4,1.804,0.656,7e-10,1.06e-09
0.979381443298969,38.8,1.784,0.656,7.01e-10,1.06e-09
0.989528795811518,38.2,1.774,0.656,7.02e-10,1.06e-09
0.997347480106101,37.7,1.764,0.656,7.02e-10,1.06e-09
1.00808625336927,37.1,1.744,0.656,7.03e-10,1.06e-09
1.01639344262295,36.6,1.724,0.656,7.04e-10,1.06e-09
1.02777777777778,36,1.714,0.656,7.05e-10,1.06e-09
1.03954802259887,35.4,1.694,0.656,7.06e-10,1.06e-09
1.0487106017192,34.9,1.684,0.656,7.07e-10,1.06e-09
1.06122448979592,34.3,1.674,0.656,7.08e-10,1.06e-09
1.07100591715976,33.8,1.654,0.656,7.09e-10,1.06e-09
1.08433734939759,33.2,1.634,0.656,7.1e-10,1.06e-09
1.09480122324159,32.7,1.624,0.656,7.11e-10,1.06e-09
1.1055900621118,32.2,1.614,0.656,7.12e-10,1.06e-09
1.11708860759494,31.6,1.594,0.656,7.13e-10,1.06e-09
1.12861736334405,31.1,1.574,0.656,7.14e-10,1.06e-09
1.14052287581699,30.6,1.564,0.656,7.15e-10,1.06e-09
1.15282392026578,30.1,1.554,0.656,7.16e-10,1.06e-09
1.16949152542373,29.5,1.534,0.656,7.17e-10,1.06e-09
1.17931034482759,29,1.514,0.656,7.18e-10,1.06e-09
1.19298245614035,28.5,1.504,0.656,7.19e-10,1.06e-09
1.20714285714286,28,1.494,0.656,7.2e-10,1.06e-09
1.22181818181818,27.5,1.474,0.656,7.21e-10,1.06e-09
1.23333333333333,27,1.464,0.656,7.22e-10,1.06e-09
1.24905660377359,26.5,1.444,0.656,7.23e-10,1.06e-09
1.26538461538462,26,1.424,0.656,7.24e-10,1.06e-09
1.27843137254902,25.5,1.414,0.656,7.25e-10,1.06e-09
1.296,25,1.404,0.656,7.26e-10,1.06e-09
1.31020408163265,24.5,1.384,0.656,7.27e-10,1.06e-09
1.32916666666667,24,1.364,0.656,7.28e-10,1.06e-09
1.33898305084746,23.6,1.354,0.656,7.3e-10,1.06e-09
1.35930735930736,23.1,1.344,0.656,7.31e-10,1.06e-09
1.37610619469027,22.6,1.324,0.656,7.32e-10,1.06e-09
1.39189189189189,22.2,1.314,0.656,7.33e-10,1.06e-09
1.41013824884793,21.7,1.294,0.656,7.34e-10,1.06e-09
1.42924528301887,21.2,1.284,0.656,7.35e-10,1.06e-09
1.44711538461538,20.8,1.264,0.656,7.36e-10,1.06e-09
1.4679802955665,20.3,1.254,0.656,7.38e-10,1.06e-09
1.48743718592965,19.9,1.234,0.656,7.39e-10,1.06e-09
1.51030927835052,19.4,1.224,0.656,7.4e-10,1.06e-09
1.52631578947368,19,1.204,0.656,7.41e-10,1.06e-09
1.54301075268817,18.6,1.184,0.656,7.42e-10,1.06e-09
1.57458563535912,18.1,1.174,0.656,7.43e-10,1.06e-09
1.59322033898305,17.7,1.154,0.656,7.45e-10,1.06e-09
1.61271676300578,17.3,1.144,0.656,7.46e-10,1.06e-09
1.63313609467456,16.9,1.124,0.656,7.47e-10,1.06e-09
